cik,ticker,name,sic,sic_description,state_of_incorporation,exchanges,hq_street,hq_city,hq_state_or_country,hq_postcode,hq_address
315293,AON,Aon plc,6411,"Insurance Agents, Brokers & Service",L2,NYSE,15 GEORGES QUAY,DUBLIN 2,L2,D02 VR98,"15 GEORGES QUAY, DUBLIN 2, L2, D02 VR98"
883241,SNPS,SYNOPSYS INC,7372,Services-Prepackaged Software,DE,Nasdaq,675 ALMANOR AVE,SUNNYVALE,CA,94085,"675 ALMANOR AVE, SUNNYVALE, CA, 94085"
1633978,LITE,Lumentum Holdings Inc.,3669,"Communications Equipment, NEC",DE,Nasdaq,1001 RIDDER PARK DRIVE,SAN JOSE,CA,95131,"1001 RIDDER PARK DRIVE, SAN JOSE, CA, 95131"
844150,NWG,NatWest Group plc,6029,"Commercial Banks, NEC",X0,NYSE|OTC,GOGARBURN,"EDINBURGH, SCOTLAND",X0,EH12 1HQ,"GOGARBURN, PO BOX 1000, EDINBURGH, SCOTLAND, X0, EH12 1HQ"
1648416,RACE,Ferrari N.V.,3711,Motor Vehicles & Passenger Car Bodies,P7,NYSE,VIA ABETONE INFERIORE N. 4,MARANELLO,L6,I-41053,"VIA ABETONE INFERIORE N. 4, MARANELLO, L6, I-41053"
1585689,HLT,Hilton Worldwide Holdings Inc.,7011,Hotels & Motels,DE,NYSE,"7930 JONES BRANCH DRIVE, SUITE 1100",MCLEAN,VA,22102,"7930 JONES BRANCH DRIVE, SUITE 1100, MCLEAN, VA, 22102"
1739940,CI,Cigna Group,6324,Hospital & Medical Service Plans,DE,NYSE,900 COTTAGE GROVE ROAD,BLOOMFIELD,CT,06002,"900 COTTAGE GROVE ROAD, BLOOMFIELD, CT, 06002"
21665,CL,COLGATE PALMOLIVE CO,2844,"Perfumes, Cosmetics & Other Toilet Preparations",DE,NYSE,300 PARK AVE,NEW YORK,NY,10022,"300 PARK AVE, NEW YORK, NY, 10022"
898173,ORLY,O REILLY AUTOMOTIVE INC,5531,Retail-Auto & Home Supply Stores,,Nasdaq,233 S PATTERSON AVE,SPRINGFIELD,MO,65802,"233 S PATTERSON AVE, SPRINGFIELD, MO, 65802"
1276187,ET,Energy Transfer LP,4922,Natural Gas Transmission,OK,NYSE|NYSE,8111 WESTCHESTER DRIVE,DALLAS,TX,75225,"8111 WESTCHESTER DRIVE, SUITE 600, DALLAS, TX, 75225"
1323404,WPM,Wheaton Precious Metals Corp.,1040,Gold and Silver Ores,A6,NYSE,SUITE 3500,VANCOUVER,A1,V6E 0C3,"SUITE 3500, 1021 WEST HASTINGS STREEET, VANCOUVER, A1, V6E 0C3"
1159508,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,6022,State Commercial Banks,,NYSE|OTC|OTC|NYSE|NYSE|NYSE|OTC,DEUTSCHE BANK AG - LEGAL DEPARTMENT,NEW YORK,NY,10019,"DEUTSCHE BANK AG - LEGAL DEPARTMENT, 1 COLUMBUS CIRCLE, 19TH FLOOR, NEW YORK, NY, 10019"
1437107,WBD,"Warner Bros. Discovery, Inc.",4841,Cable & Other Pay Television Services,DE,Nasdaq,230 PARK AVENUE SOUTH,NEW YORK,NY,10003,"230 PARK AVENUE SOUTH, NEW YORK, NY, 10003"
